demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ_late,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,5,0,5,0,,,,,,scarlet,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5812580143101513,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,6,0,6,0,,,,,,elbalm,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,1.188562633935362,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,7,0,7,0,,,,,,mining,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.8112165611237288,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,8,0,8,0,,,,,,snorls,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.9532669386826456,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,9,0,9,0,,,,,,submit,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5763582070358098,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,10,0,10,0,,,,,,lavilion,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.7597182630561292,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,11,0,11,0,,,,,,downtrund,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.9757653302513063,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,12,0,12,0,,,,,,perform,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5830620042979717,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,13,0,13,0,,,,,,marvel,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5263632889837027,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,14,0,14,0,,,,,,blerapies,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.6397478077560663,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,15,0,15,0,,,,,,thrapping,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,1.1724277008324862,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,16,0,16,0,,,,,,blanned,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.5476066013798118,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,17,0,17,0,,,,,,tinker,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.6913431086577475,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,18,0,18,0,,,,,,hecture,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.6220710910856724,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
