demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"19
", FEMALE,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,0,3,0,,,,,,obtuse,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.7389802646357566,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,4,0,4,0,,,,,,moyeur,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.8122856110567227,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,5,0,5,0,,,,,,ludictous,nw,h,upper,,,,,,,1,nw,HiDemTar,g,0,0.8589243149617687,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,6,0,6,0,,,,,,saucer,w,g,upper,,,,,,,1,w,HiDemTar,g,1,1.063458423013799,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,7,0,7,0,,,,,,beggarlan,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,1.1321177983190864,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,8,0,8,0,,,,,,anterior,w,g,upper,,,,,,,1,w,HiDemTar,h,0,0.8940751671325415,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,9,0,9,0,,,,,,dehydrate,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.8173562755109742,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,10,0,10,0,,,,,,bamps,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.9663448893697932,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,11,0,11,0,,,,,,olerates,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,1.2790547836339101,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,12,0,12,0,,,,,,clarms,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.7629870644304901,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,13,0,13,0,,,,,,esdings,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.6424281595973298,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,14,0,14,0,,,,,,sefine,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,1.2636828131508082,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,15,0,15,0,,,,,,jaguar,target,q,upper,,,,,,,1,target,HiDemTar,h,0,0.7093428809894249,1,1,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,16,0,16,0,,,,,,daylight,w,g,upper,,,,,,,1,aftertar1,HiDemTar,g,1,0.9122636368265375,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
